source_id, target_id
9736efd2-288e-436a-b2bb-694ca19cc0cb,32ec8cc6-7d9f-41ef-88a2-d9ee0f07770a
896a3ded-9b08-4597-a7e3-075a9849491d,a1033297-9837-41ce-933a-37d65f9ceeee
53979208-0bc3-434d-96b6-69c9c538ce2f,e2a9ef05-5dd4-4006-bb47-11c2a729f2c7
9dd86488-8af9-4c98-98fa-79bc39b071a8,cfaa8ec8-64e4-4a52-895b-9d6884b345d0
1f090508-b860-4f5a-a3bb-cbd613c56e00,c981b343-b6d7-4096-9db5-e0c1db277fd7
3eee1f94-ef0f-4f45-bda5-d8e6128d27a0,3fa3f3e5-e947-4410-817f-9b1e022c9dd3
b056b98f-02a7-4df9-9925-d77e73d50393,03930bde-efaf-4e89-8f91-a8f13820a359
d0d632eb-9b30-4209-a87e-4805b4080424,f4216f7c-afe2-49d4-a498-6437c96661f6
e1075ca5-b1de-4e60-b1d9-3093116c8d0a,1ebd3ff9-51ae-47a7-9b1a-0e0659c6c0eb
1739305a-c6aa-410c-802d-a2fa27da0d7d,f9aa7cb8-00c6-4d28-85fc-3c71d57f44ce


